ranking,true
"['Hold', 'Sell', 'Buy']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Buy
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Hold
"['Hold', 'Buy', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Buy
"['Sell', 'Buy', 'Hold']",Hold
"['Sell', 'Buy', 'Hold']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Sell', 'Hold']",Hold
"['Buy', 'Sell', 'Hold']",Hold
"['Hold', 'Sell', 'Buy']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Sell', 'Hold', 'Buy']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Hold
"['Hold', 'Buy', 'Sell']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Sell', 'Buy', 'Hold']",Hold
"['Hold', 'Sell', 'Buy']",Buy
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Buy
"['Sell', 'Hold', 'Buy']",Hold
"['Hold', 'Sell', 'Buy']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Sell', 'Hold', 'Buy']",Buy
"['Sell', 'Hold', 'Buy']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Buy', 'Hold']",Hold
"['Buy', 'Hold', 'Sell']",Hold
"['Sell', 'Hold', 'Buy']",Hold
"['Buy', 'Hold', 'Sell']",Buy
"['Hold', 'Sell', 'Buy']",Buy
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Sell', 'Hold', 'Buy']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Sell', 'Hold', 'Buy']",Hold
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Hold', 'Buy', 'Sell']",Hold
"['Sell', 'Buy', 'Hold']",Hold
"['Sell', 'Buy', 'Hold']",Hold
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Hold', 'Sell', 'Buy']",Buy
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Hold', 'Sell', 'Buy']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Hold', 'Buy']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Hold', 'Buy']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Buy', 'Hold']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Sell', 'Hold']",Buy
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Hold
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Hold', 'Buy']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Buy', 'Sell', 'Hold']",Buy
"['Sell', 'Buy', 'Hold']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Buy', 'Sell', 'Hold']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Sell', 'Buy', 'Hold']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
