ranking,true
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Buy
"['Buy', 'Hold', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Hold
"['Hold', 'Buy', 'Sell']",Hold
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Sell', 'Buy']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Hold', 'Buy', 'Sell']",Sell
"['Buy', 'Hold', 'Sell']",Sell
